,predict,targets
0,15,15
1,15,15
2,0,4
3,0,0
4,14,14
5,0,0
6,0,5
7,0,0
8,10,10
9,0,0
10,0,0
11,4,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,15,15
22,0,0
23,14,14
24,0,0
25,0,0
26,0,5
27,14,14
28,11,11
29,0,0
30,0,0
31,0,0
32,0,15
33,0,0
34,0,0
35,0,0
36,14,13
37,0,0
38,0,0
39,13,13
40,0,0
41,0,0
42,15,15
43,0,0
44,0,0
45,6,0
46,0,0
47,0,0
48,11,12
49,0,0
50,0,0
51,0,6
52,0,0
53,0,0
54,3,3
55,14,14
56,0,0
57,9,0
58,0,0
59,0,0
60,0,0
61,0,0
62,6,6
63,9,10
64,0,0
65,0,5
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,14,14
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,2,2
78,0,0
79,0,0
80,2,2
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,9,9
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,2,2
95,1,1
96,9,9
97,7,10
98,0,0
99,0,0
100,14,14
101,0,0
102,15,15
103,14,14
104,0,0
105,0,0
106,0,0
107,13,13
108,7,7
109,11,11
110,0,0
111,3,3
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,8,11
122,11,11
123,0,0
124,0,0
125,0,0
126,0,15
127,0,0
128,7,7
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,0,0
136,8,8
137,0,0
138,14,14
139,0,0
140,0,0
141,0,15
142,8,5
143,0,0
144,13,13
145,0,0
146,0,0
147,5,5
148,0,1
149,0,0
150,12,12
151,12,12
152,0,0
153,0,5
154,0,0
155,0,0
156,0,15
157,0,0
158,6,6
159,8,8
160,0,6
161,0,0
162,0,0
163,0,0
164,0,0
165,13,13
166,3,3
167,0,0
168,7,12
169,4,4
170,0,0
171,0,0
172,0,0
173,8,5
174,0,0
175,0,0
176,14,14
177,3,3
178,0,0
179,2,2
180,0,0
181,0,0
182,0,0
183,0,0
184,0,8
185,0,0
186,0,0
187,0,0
188,1,1
189,0,0
190,0,4
191,0,0
192,15,15
193,0,0
194,8,8
195,12,12
196,0,0
197,0,0
198,0,0
199,15,15
200,0,0
201,0,0
202,14,14
203,0,0
204,10,10
205,0,0
206,0,0
207,14,14
208,0,0
209,0,0
210,0,0
211,0,1
212,0,0
213,8,5
214,8,8
215,0,0
216,14,14
217,0,0
218,11,11
219,0,6
220,0,6
221,0,0
222,0,0
223,0,0
224,0,0
225,0,6
226,0,0
227,0,12
228,5,5
229,0,0
230,0,0
231,0,0
232,0,0
233,0,11
234,8,8
235,0,0
236,0,0
237,0,0
238,14,14
239,0,0
240,0,0
241,0,0
242,0,0
243,0,0
244,0,0
245,0,11
246,0,0
247,15,15
248,12,12
249,0,0
250,0,0
251,0,0
252,14,0
253,8,8
254,0,0
255,11,11
256,0,0
257,0,0
258,5,5
259,1,1
260,0,0
261,11,12
262,0,8
263,0,0
264,6,6
265,0,6
266,0,0
267,0,0
268,14,14
269,0,0
270,0,0
271,0,0
272,0,0
273,0,0
274,0,6
275,0,0
276,0,0
277,2,2
278,1,1
279,0,0
280,13,13
281,0,0
282,0,0
283,0,0
284,15,15
285,0,0
286,0,0
287,0,12
288,5,0
289,0,0
290,0,0
291,0,0
292,0,12
293,0,13
294,0,0
295,0,0
296,0,0
297,0,0
298,0,11
299,0,0
300,0,0
301,0,0
302,0,0
303,0,0
304,3,3
305,0,6
306,0,12
307,9,9
308,0,12
309,0,3
310,0,0
311,0,0
312,0,0
313,0,0
314,0,0
315,14,14
316,11,11
317,0,0
318,0,0
319,0,0
320,0,0
321,14,14
322,0,0
323,8,8
324,0,4
325,14,14
326,0,0
327,0,0
328,0,0
329,0,0
330,0,0
331,0,0
332,0,0
333,0,0
334,0,0
335,0,0
336,0,0
337,0,0
338,0,0
339,0,0
340,0,0
341,0,0
342,11,11
343,0,0
344,14,13
345,0,0
346,14,14
347,0,0
348,11,11
349,0,12
350,0,0
351,11,11
352,0,15
353,0,0
354,0,0
355,0,0
356,0,15
357,15,15
358,6,0
359,0,0
360,0,0
361,0,0
362,0,0
363,0,0
364,2,2
365,0,0
366,0,0
367,14,14
368,0,0
369,0,15
370,0,0
371,0,15
372,0,0
373,0,10
374,13,13
375,12,12
376,6,6
377,0,0
378,0,0
379,3,3
380,8,8
381,8,11
382,14,14
383,0,0
384,9,9
385,1,1
386,0,15
387,0,0
388,0,6
389,0,0
390,8,5
391,2,2
392,2,2
393,0,0
394,0,0
395,4,15
396,0,0
397,0,0
398,0,0
399,3,3
400,12,12
401,0,0
402,3,3
403,0,0
404,0,0
405,0,0
406,0,0
407,0,0
408,2,2
409,0,0
410,0,0
411,0,0
412,14,0
413,0,0
414,0,0
415,6,6
416,0,0
417,0,0
418,0,0
419,0,0
420,0,0
421,11,11
422,6,6
423,0,0
424,0,8
425,0,0
426,0,0
427,14,14
428,0,0
429,0,11
430,14,14
431,0,0
432,0,0
433,0,0
434,0,0
435,7,0
436,14,14
437,0,6
438,4,12
439,0,11
440,3,3
441,0,0
442,6,6
443,0,0
444,0,0
445,2,2
446,0,0
447,0,6
448,0,0
449,11,11
450,0,0
451,0,0
452,14,14
453,10,10
454,0,0
455,0,5
456,0,0
457,0,0
458,0,0
459,0,4
460,0,0
461,11,11
462,0,0
463,0,4
464,0,0
465,0,0
466,3,3
467,0,0
468,0,0
469,0,0
470,3,3
471,11,11
472,12,12
473,0,0
474,0,0
475,0,0
476,0,0
477,0,0
478,0,0
479,0,0
480,14,14
481,15,15
482,1,1
483,0,0
484,0,0
485,0,0
486,0,0
487,0,15
488,2,2
489,11,11
490,14,13
491,0,0
492,0,0
493,0,0
494,0,0
495,11,12
496,0,0
497,12,12
498,0,0
499,0,4
500,14,14
501,8,5
502,0,0
503,0,0
504,12,12
505,0,11
506,3,3
507,0,0
508,5,5
509,0,0
510,15,15
511,0,0
512,0,0
513,0,0
514,0,0
515,0,5
516,0,5
517,15,15
518,0,0
519,0,6
520,0,0
521,0,0
522,0,0
523,0,15
524,0,0
525,14,14
526,0,0
527,0,0
528,0,0
529,0,0
530,0,0
531,0,0
532,0,0
533,0,0
534,9,9
535,2,2
536,0,0
537,0,0
538,0,6
539,0,0
540,0,15
541,0,12
542,0,0
543,0,0
544,0,3
545,0,0
546,0,0
547,0,0
548,0,0
549,0,0
550,11,11
551,0,6
552,0,0
553,0,6
554,0,0
555,0,0
556,5,5
557,0,0
558,2,2
559,0,0
560,0,0
561,0,0
562,0,0
563,0,0
564,0,0
565,0,0
566,3,3
567,3,3
568,0,0
569,0,0
570,0,15
571,0,0
572,0,0
573,0,0
574,0,0
575,0,0
576,6,6
577,0,0
578,0,0
579,6,0
580,0,0
581,0,0
582,15,15
583,0,0
584,0,2
585,0,0
586,0,0
587,0,0
588,0,6
589,3,3
590,0,0
591,0,0
592,0,0
593,14,14
594,0,0
595,5,0
596,14,0
597,9,9
598,13,13
599,0,0
600,0,0
601,0,0
602,0,0
603,0,0
604,0,15
605,0,0
606,0,0
607,6,6
608,0,0
609,0,0
610,3,3
611,14,14
612,0,0
613,0,0
614,5,5
615,15,15
616,0,0
617,14,14
618,0,0
619,6,6
620,0,5
621,0,0
622,0,0
623,3,3
624,2,2
625,0,0
626,0,0
627,0,0
628,0,0
629,0,4
630,0,0
631,0,0
632,0,0
633,0,0
634,11,11
635,4,12
636,6,6
637,0,0
638,0,0
639,0,5
640,0,0
641,8,8
642,0,11
643,0,0
644,0,0
645,6,6
646,0,0
647,3,3
648,0,0
649,0,0
650,0,0
651,0,0
652,0,0
653,0,0
654,0,0
655,0,0
656,15,15
657,8,5
658,2,2
659,0,0
660,0,0
661,0,0
662,1,1
663,3,3
664,0,0
665,0,0
666,0,4
667,0,0
668,0,0
669,0,0
670,0,0
671,0,0
672,0,0
673,15,15
674,6,0
675,15,15
676,0,0
677,0,0
678,0,0
679,11,11
680,0,0
681,12,12
682,11,0
683,0,0
684,0,0
685,0,0
686,0,0
687,0,0
688,10,10
689,11,12
690,0,0
691,0,0
692,0,0
693,0,0
694,3,3
695,0,0
696,0,0
697,0,0
698,0,0
699,0,5
700,14,14
701,0,0
702,0,0
703,0,0
704,0,0
705,0,0
706,6,6
707,9,9
708,0,0
709,0,0
710,0,0
711,7,7
712,0,5
713,0,0
714,13,13
715,0,0
716,0,15
717,0,0
718,2,2
719,6,6
720,0,0
721,0,0
722,0,0
723,2,2
724,0,0
725,9,0
726,0,0
727,0,0
728,0,0
729,12,12
730,0,0
731,0,0
732,14,14
733,10,10
734,0,0
735,0,0
736,0,0
737,4,4
738,0,0
739,0,0
740,0,0
741,0,0
742,0,0
743,1,13
744,13,13
745,3,3
746,0,0
747,0,0
748,0,0
749,0,0
750,0,0
751,0,0
752,1,1
753,15,15
754,0,0
755,0,12
756,0,0
757,0,0
758,4,0
759,0,0
760,0,0
761,0,0
762,0,0
763,0,0
764,0,0
765,0,0
766,0,0
767,0,0
768,0,0
769,15,15
770,0,0
771,0,0
772,0,0
773,0,0
774,6,6
775,4,4
776,0,0
777,0,0
778,1,1
779,0,0
780,8,8
781,0,0
782,0,0
783,0,0
784,12,12
785,0,0
786,0,10
787,0,12
788,5,5
789,0,0
790,11,11
791,0,0
792,0,0
793,15,15
794,0,5
795,0,0
796,0,0
797,0,0
798,0,0
799,0,4
800,0,0
801,0,5
802,6,6
803,1,1
804,7,7
805,0,0
806,0,0
807,10,10
808,0,0
809,4,0
810,5,5
811,0,0
812,0,0
813,6,0
814,11,12
815,0,0
816,0,0
817,2,2
818,2,2
819,13,13
820,0,0
821,0,0
822,0,0
823,0,0
824,0,0
825,0,0
826,0,0
827,0,8
828,15,15
829,7,7
830,4,4
831,0,12
832,0,0
833,0,0
834,0,0
835,0,0
836,0,15
837,0,0
838,8,8
839,0,6
840,0,5
841,0,0
842,0,0
843,0,12
844,6,0
845,0,0
846,0,0
847,0,0
848,0,0
849,8,5
850,0,0
851,0,0
852,14,14
853,0,0
854,11,11
855,0,0
856,0,0
857,15,15
858,3,3
859,11,11
860,0,0
861,0,8
862,0,0
863,0,0
864,6,6
865,8,8
866,3,3
867,11,11
868,0,12
869,0,0
870,0,0
871,0,0
872,0,0
873,12,12
874,0,0
875,0,0
876,5,5
877,2,2
878,0,0
879,14,0
880,8,0
881,14,14
882,10,10
883,9,9
884,0,0
885,0,0
886,0,0
887,0,11
888,8,0
889,0,0
890,11,11
891,0,0
892,0,0
893,0,0
894,3,3
895,4,4
896,0,13
897,9,10
898,0,0
899,0,0
900,0,0
901,0,0
902,2,2
903,14,14
904,14,14
905,0,0
906,7,7
907,0,0
908,14,0
909,0,0
910,0,0
911,0,0
912,0,0
913,0,0
914,7,7
915,0,0
916,2,2
917,12,12
918,0,0
919,0,0
920,0,11
921,0,0
922,0,0
923,0,0
924,0,0
925,0,0
926,0,0
927,0,0
928,2,2
929,0,0
930,0,0
931,14,14
932,0,0
933,0,12
934,0,0
935,2,2
936,0,0
937,0,4
938,0,0
939,0,6
940,0,0
941,3,3
942,0,0
943,0,0
944,0,0
945,0,0
946,0,0
947,0,0
948,0,0
949,0,0
950,0,0
951,0,9
952,0,0
953,0,0
954,0,0
955,0,0
956,0,0
957,8,5
958,11,11
959,0,0
960,0,0
961,4,15
962,0,0
963,0,0
964,0,0
965,0,0
966,8,0
967,4,4
968,0,0
969,0,0
970,0,14
971,10,10
972,0,0
973,3,3
974,0,0
975,0,0
976,15,15
977,14,14
978,0,5
979,0,5
980,0,13
981,0,0
982,0,12
983,8,8
984,0,0
985,0,0
986,0,0
987,0,0
988,14,14
989,0,12
990,0,0
991,0,0
992,0,0
993,0,0
994,0,0
995,0,0
996,14,14
997,0,0
998,14,14
999,0,0
1000,0,0
1001,0,6
1002,5,5
1003,0,0
1004,2,2
1005,6,6
1006,11,11
1007,0,0
1008,0,0
1009,6,6
1010,0,0
1011,15,15
1012,0,0
1013,0,0
1014,0,0
1015,0,0
1016,14,14
1017,8,8
1018,0,0
1019,2,2
1020,0,0
1021,0,0
1022,0,0
1023,0,0
1024,0,0
1025,0,0
1026,0,0
1027,0,0
1028,0,0
1029,0,0
1030,0,0
1031,2,2
1032,0,6
1033,0,0
1034,11,11
1035,8,5
1036,0,0
1037,0,5
1038,0,0
1039,0,0
1040,2,2
1041,5,5
1042,0,0
1043,0,0
1044,0,0
1045,4,0
1046,0,0
1047,4,4
1048,0,0
1049,0,0
1050,0,0
1051,0,0
1052,12,11
1053,12,12
1054,0,0
1055,0,6
1056,0,0
1057,0,13
1058,0,0
1059,0,0
1060,0,0
1061,0,6
1062,0,15
1063,11,11
1064,0,0
1065,0,0
1066,0,0
1067,0,0
1068,1,1
1069,14,14
1070,0,0
1071,6,6
1072,0,13
1073,11,12
1074,0,0
