,predict,targets
0,8,8
1,0,13
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,2,2
9,15,15
10,0,0
11,0,0
12,0,0
13,0,0
14,5,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,2,2
21,2,2
22,0,0
23,0,0
24,0,6
25,0,4
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,11,0
32,14,14
33,0,0
34,11,11
35,0,0
36,0,0
37,0,0
38,0,0
39,0,15
40,15,15
41,14,1
42,0,4
43,11,12
44,0,0
45,0,13
46,3,3
47,0,0
48,0,0
49,11,11
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,13
58,0,0
59,2,2
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,7,12
68,0,0
69,0,0
70,0,0
71,0,0
72,0,4
73,0,15
74,0,0
75,0,0
76,0,0
77,0,13
78,8,8
79,0,6
80,0,0
81,0,0
82,0,0
83,0,0
84,0,5
85,0,0
86,10,10
87,0,8
88,0,0
89,3,3
90,0,0
91,0,0
92,0,0
93,0,6
94,0,0
95,2,2
96,0,0
97,10,10
98,0,0
99,5,5
100,0,0
101,0,0
102,6,6
103,0,0
104,12,12
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,11,11
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,6
118,7,12
119,0,8
120,0,0
121,0,0
122,0,0
123,0,0
124,14,14
125,0,0
126,0,0
127,0,0
128,0,0
129,14,14
130,0,0
131,0,0
132,0,0
133,3,3
134,9,9
135,0,0
136,0,0
137,15,15
138,0,15
139,0,0
140,0,6
141,0,0
142,2,2
143,0,0
144,0,6
145,2,2
146,0,0
147,0,15
148,12,11
149,0,4
150,0,0
151,0,0
152,0,0
153,0,0
154,8,8
155,0,0
156,0,2
157,8,8
158,0,5
159,0,0
160,1,14
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,15,0
168,0,0
169,0,13
170,0,0
171,0,0
172,0,0
173,0,11
174,12,12
175,0,0
176,0,0
177,0,13
178,0,0
179,0,0
180,0,0
181,0,0
182,2,2
183,0,0
184,2,2
185,0,0
186,0,0
187,0,0
188,0,6
189,0,14
190,0,0
191,0,0
192,7,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,4
198,0,0
199,0,0
200,0,0
201,0,0
202,0,6
203,12,12
204,0,0
205,0,6
206,0,0
207,0,0
208,0,0
209,0,0
210,0,0
211,5,5
212,0,8
213,0,0
214,0,6
215,0,0
216,5,0
217,0,0
218,6,0
219,2,1
220,14,14
221,0,0
222,0,0
223,0,4
224,0,15
225,0,0
226,0,4
227,5,0
228,0,0
229,14,14
230,0,0
231,0,0
232,14,14
233,0,0
234,0,6
235,15,15
236,0,0
237,2,2
238,0,0
239,2,2
240,0,0
241,0,0
242,8,8
243,0,0
244,0,0
245,0,0
246,0,0
247,0,0
248,0,0
249,0,0
250,0,0
251,0,5
252,12,3
253,0,12
254,0,0
255,0,11
256,0,0
257,0,4
258,0,12
259,0,13
260,0,0
261,0,14
262,14,6
263,0,0
